Timestamp,Topic
3,15.25
6,15.5
9,15.25
12,15.0
15,15.5
18,15.75
21,16.5
24,16.75
27,17.25
30,18.5
33,19.25
36,20.0
39,20.5
42,21.25
45,22.5
48,23.25
51,24.0
54,24.75
57,25.75
60,26.75
63,27.5
66,28.0
69,29.0
72,29.75
75,30.5
78,31.25
81,32.25
84,33.25
87,33.75
90,34.25
93,35.25
96,35.75
99,37.5
102,37.75
105,38.5
108,39.5
111,39.75
114,41.25
117,42.25
120,43.0
123,43.75
126,44.5
129,45.25
132,46.0
135,46.75
138,47.75
141,48.75
144,49.25
147,50.25
150,51.25
153,52.0
156,53.0
159,54.0
162,54.5
165,55.25
168,56.0
171,57.0
174,57.75
177,58.25
180,59.5
183,60.0
186,60.75
189,62.0
192,63.25
195,63.5
198,64.75
201,65.25
204,66.25
